planName, telemetryRowIndex, microsecondsSinceGpsEpoch, wattsPerM2, wavelength
UpScan, 41296, 943429253750000.2, 0.0009880870674688709, 175.0
UpScan, 41297, 943429255500000.2, 0.0009869364265875202, 175.0
UpScan, 41298, 943429257250000.2, 0.0009852393433881369, 175.0
UpScan, 41294, 943429250250000.2, 0.000988706329405433, 175.01
UpScan, 41295, 943429252000000.2, 0.0009858909121067785, 175.01
UpScan, 41299, 943429259000000.2, 0.0009872913543327387, 175.01
UpScan, 41300, 943429260750000.2, 0.0009907212762102434, 175.01
UpScan, 41293, 943429248500000.2, 0.0009946836220315145, 175.02
UpScan, 41301, 943429262500000.2, 0.0009937113049568011, 175.02
UpScan, 41291, 943429245000000.2, 0.0010112577756977497, 175.03
UpScan, 41292, 943429246750000.2, 0.0010012592384611217, 175.03
UpScan, 41302, 943429264250000.2, 0.0010012466106052158, 175.03
UpScan, 41303, 943429266000000.2, 0.0010105231663775126, 175.03
UpScan, 41290, 943429243250000.2, 0.001023059563413556, 175.04
UpScan, 41304, 943429267750000.2, 0.0010210020419516904, 175.04
UpScan, 41288, 943429239750000.2, 0.0010478060740582943, 175.05
UpScan, 41289, 943429241500000.2, 0.0010342932719006946, 175.05
UpScan, 41305, 943429269500000.2, 0.0010346491997456188, 175.05
UpScan, 41306, 943429271250000.2, 0.0010448958454752821, 175.05
UpScan, 41287, 943429238000000.2, 0.0010577617627906951, 175.06
UpScan, 41307, 943429273000000.2, 0.0010601898233779028, 175.06
UpScan, 41285, 943429234500000.2, 0.0010825448727517638, 175.07
UpScan, 41286, 943429236250000.2, 0.0010721796226893085, 175.07
UpScan, 41308, 943429274750000.2, 0.0010724266467483094, 175.07
UpScan, 41309, 943429276500000.2, 0.0010835496548628244, 175.07
UpScan, 41284, 943429232750000.2, 0.0010945866240893742, 175.08
UpScan, 41310, 943429278250000.2, 0.0010926642463344868, 175.08
UpScan, 41282, 943429229250000.2, 0.001112137850522069, 175.09
UpScan, 41283, 943429231000000.2, 0.0011032374240219239, 175.09
UpScan, 41311, 943429280000000.2, 0.0011019432990777395, 175.09
UpScan, 41312, 943429281750000.2, 0.0011128089558521245, 175.09
UpScan, 41280, 943429225750000.2, 0.00112890388109753, 175.1
UpScan, 41281, 943429227500000.2, 0.001119842636398071, 175.1
UpScan, 41313, 943429283500000.2, 0.001120805126461534, 175.1
UpScan, 41314, 943429285250000.2, 0.0011291774457747132, 175.1
UpScan, 41279, 943429224000000.2, 0.0011371319183365984, 175.11
UpScan, 41315, 943429287000000.2, 0.0011361238696546597, 175.11
UpScan, 41277, 943429220500000.2, 0.0011536173506365547, 175.12
UpScan, 41278, 943429222250000.2, 0.0011453778146119583, 175.12
UpScan, 41316, 943429288750000.2, 0.0011449664627571302, 175.12
UpScan, 41317, 943429290500000.2, 0.0011535607099039313, 175.12
UpScan, 41276, 943429218750000.2, 0.001160791501395179, 175.13
UpScan, 41318, 943429292250000.2, 0.0011614251337094582, 175.13
UpScan, 41274, 943429215250000.2, 0.001174081547700513, 175.14
UpScan, 41275, 943429217000000.2, 0.001168275981896913, 175.14
UpScan, 41319, 943429294000000.2, 0.0011689182427231843, 175.14
